code,time,interval,ma5,ma10,ma20,ma60,expma12,expma50,sar,bollmb,bollup,bolldn,bbi,rsi6,rsi12,rsi24,k,d,j,dif,dea,macd,pdi,mdi,adx,adxr,bias6,bias12,bias24,wr6,wr10,cci,roc,maroc,lb,atr14
601519.SH,2026-06-30 15:00:00,5min,8.634,8.62,8.608,8.589833,8.622419,8.607948,8.581829,8.608,8.663353,8.552647,8.624063,54.829737,55.218906,52.481511,75.980832,67.326999,93.288499,0.011927,0.008466,0.006921,22.289048,5.796729,54.078209,48.84158,-0.019309,0.13537,0.275962,50.0,28.571429,106.630824,0.232288,0.252481,1.361241,0.029286
300085.SZ,2026-06-30 15:00:00,5min,35.022,34.922,34.8665,34.468833,34.936704,34.686019,35.933253,34.8665,35.653755,34.079245,34.943958,52.03866,55.461506,54.063263,68.275653,59.007957,86.811046,0.161553,0.163438,-0.003769,33.849163,16.023811,50.035588,52.449142,-0.123762,0.131237,0.531838,65.517241,38.0,36.060606,-0.085714,-0.184042,1.668428,0.184286
300561.SZ,2026-06-30 15:00:00,5min,14.146,14.134,14.13,14.054,14.135313,14.096713,14.057644,14.13,14.237517,14.022483,14.136667,44.188566,50.022141,51.183094,48.345715,47.576981,49.883183,0.019972,0.02316,-0.006375,27.667367,15.245723,39.570032,41.674714,-0.188501,-0.076665,-0.041295,88.888889,66.666667,-21.212121,0.0,-0.091624,1.748736,0.049286
