code,time,interval,ma5,ma10,ma20,ma60,expma12,expma50,sar,bollmb,bollup,bolldn,bbi,rsi6,rsi12,rsi24,k,d,j,dif,dea,macd,pdi,mdi,adx,adxr,bias6,bias12,bias24,wr6,wr10,cci,roc,maroc,lb,atr14
300033.SZ,2026-06-30 15:00:00,5min,240.564,240.06,239.982,238.793333,240.230028,239.525457,243.800366,239.982,242.276276,237.687724,240.322917,67.182366,58.845269,54.506849,68.08886,53.472942,97.320694,0.477874,0.396375,0.162997,34.77402,15.260554,47.006516,46.044893,0.235686,0.428523,0.441777,19.911504,19.823789,126.180996,0.769359,0.006582,1.338579,0.835
300059.SZ,2026-06-30 15:00:00,5min,20.352,20.289,20.241,20.102833,20.29798,20.174586,20.242648,20.241,20.493341,19.988659,20.306042,68.958994,62.882187,58.04404,75.748259,67.08558,93.073618,0.069923,0.056611,0.026624,39.914947,10.183486,59.122373,53.293572,0.21308,0.526143,0.787142,31.818182,24.137931,126.585695,0.94106,0.333432,1.079214,0.065
300377.SZ,2026-06-30 15:00:00,5min,16.136,16.105,16.106,15.936333,16.114803,16.011342,16.336599,16.106,16.276106,15.935894,16.118542,57.790361,56.693622,54.962664,53.163887,47.901415,63.688833,0.050224,0.054767,-0.009085,41.657318,11.053234,51.095134,51.250932,0.010327,0.227696,0.295169,68.75,45.833333,89.6,0.124069,-0.192062,1.68952,0.071429
